id_str,full_text,created_at,favorite_count,retweet_count,is_retweeted,retweeted_from,,,,,,
1.33231E+18,RT @RMOLOfficial: Walikota Cimahi Ajay Yang Terjaring OTT KPK Ternyata Kader @PDI_Perjuangan  https://t.co/jc4FrrJCFc,Fri Nov 27 12:47:33 +0000 2020,2479,694,TRUE,RMOLOfficial,,,,,,
1.33244E+18,"Habib Rizieq: ""Saran saya kepada pemerintah agar bebaskan semua tahanan politik,  ajak mereka diskusi, ajak mereka berdebat sehat, suruh mereka semua kritisi segala kebijakan pemerintah yang menurut mereka membahayakan bangsa. ""
https://t.co/hwoTHsMf2k",Fri Nov 27 21:52:22 +0000 2020,2926,498,FALSE,,,,,,,
1.33187E+18,"RT @MCAOps: PA 212: ""Pada tanggal 2 Desember umat Islam dihimbau untuk mengibarkan bendera bergambar Habib Rizieq di rumah masing-masing,…",Thu Nov 26 07:42:21 +0000 2020,2637,497,TRUE,MCAOps,,,,,,
1.33161E+18,"PA 212: ""Pada tanggal 2 Desember umat Islam dihimbau untuk mengibarkan bendera bergambar Habib Rizieq di rumah masing-masing,  kemudian yang punya kaos Habib Rizieq juga dipakai. Itu seperti kita memakai baju biasa saja, ke warung, ke tetangga.""
https://t.co/dMVPiDDvi4",Wed Nov 25 14:29:29 +0000 2020,2637,497,FALSE,,,,,,,
1.3323E+18,"FPI: ""Diskriminasi hukum dan kriminalisasi ulama nyata jelas, terang benderang. Kerumunan tidak jaga jarak terjadi masif di Solo, Surabaya,  Banyumas, Indramayu, Pekalongan,  Banjarmasin, Magelang, tidak ada sama sekali tindakan hukum apapun""
https://t.co/1a9RXiwlGD",Fri Nov 27 12:21:10 +0000 2020,1504,433,FALSE,,,,,,,
1.33244E+18,"RT @albertsamuel28: Hari ini masyarakat Papua di Amban, Manokwari, turun ke jalan dengan mengibarkan Bendera Bintang Kejora.

Tuntutannya s…",Fri Nov 27 21:43:25 +0000 2020,1095,431,TRUE,albertsamuel28,,,,,Waktu,Jumlah Aktivitas
1.3323E+18,"RT @MCAOps: Buya Yahya: ""Lihat Habib Rizieq ketika disambut dengan ribuan orang di Bandara Soekarno Hatta. Masyarakat datang tanpa dibayar…",Fri Nov 27 12:36:49 +0000 2020,1601,340,TRUE,MCAOps,,,,,25-Nov,12
1.33198E+18,"Buya Yahya: ""Lihat Habib Rizieq ketika disambut dengan ribuan orang di Bandara Soekarno Hatta. Masyarakat datang tanpa dibayar atau dimobilisasi. Mereka datang berdasarkan kemauan sendiri.""

Video selengkapnya : https://t.co/LC76IImKhF https://t.co/k8VlDjkiwl",Thu Nov 26 15:20:53 +0000 2020,1601,340,FALSE,,,,,,26-Nov,7
1.33187E+18,"FPI: ""Pangdam minta FPI membantu mencopoti baliho. Pihak FPI siap bantu pencopotan. Dengan catatan satu, jangan hanya baliho Habib Rizieq saja yang dicopot, semua baliho [tak sesuai ketentuan] harus dicopot. ""
https://t.co/ZkjLzuGgr1",Thu Nov 26 07:50:16 +0000 2020,1824,321,FALSE,,,,,,27-Nov,14
1.33196E+18,"RT @MCAOps: Selama ini kolaborasi antara FPI dan TNI telah dilakukan sangat baik, terutama saat menangani korban bencana alam di berbagai d…",Thu Nov 26 14:08:45 +0000 2020,1218,317,TRUE,MCAOps,,,,,,
1.33245E+18,"PA 212 meminta PDIP dibubarkan setelah
Ketua Umum PDIP Megawati Soekarnoputri meminta Menteri Pendidikan dan Kebudayaan Nadiem Anwar Makarim untuk meluruskan sejarah peristiwa 1965.
https://t.co/k7nhiceUyo",Fri Nov 27 22:09:16 +0000 2020,1598,314,FALSE,,,,,,,
1.33181E+18,RT @republikaonline: Tim penyidik KPK yang menangkap tangan Edhy Prabowo dipimpin oleh Novel Baswedan. https://t.co/bycWM0qVrh,Thu Nov 26 04:02:14 +0000 2020,2620,309,TRUE,republikaonline,,,,,,
1.3316E+18,"Pernyataan sikap umat Islam Banten,  mengecam  oknum yang membuat spanduk pelecehan terhadap Habib Rizieq,  menolak wacana perubahan Pancasila jadi Trisila/Ekasila.
https://t.co/NcQfOzEQRl https://t.co/QKYsnAF8lW",Wed Nov 25 14:21:28 +0000 2020,1280,289,FALSE,,,,,,,
1.33184E+18,"Polri tak menemukan unsur perbuatan melawan hukum atau pelanggaran pidana dalam narasi sejumlah baliho pemimpin Habib Rizieq Shihab di sejumlah wilayah.
https://t.co/kzhnwppDrE",Thu Nov 26 05:43:09 +0000 2020,1430,269,FALSE,,,,,,,
1.33172E+18,"FPI: ""Karangan bunga modus lama sejak zaman Ahok. Ada yang pesan dan mengatasnamakan. Sudah ada yang protes itu dicatut namanya. Pola-pola permainan opini untuk cipta kondisi seperti itu sudah dipahami rakyat sebagai modus pecah belah dan adu domba. ""
https://t.co/LvKawsCY3Q",Wed Nov 25 21:46:54 +0000 2020,1043,204,FALSE,,,,,,,
1.33196E+18,"RS UMMI: ""Habib Rizieq mengeluh kecapaian seusai tiba di Indonesia dan banyak melakukan aktivitas. Berdasarkan hasil screening tim kami, tidak mengarah ke Covid-19,  Habib Rizieq sehat. ""
https://t.co/DCvZNanN1l",Thu Nov 26 13:38:18 +0000 2020,1267,198,FALSE,,,,,,,
1.33217E+18,"RT @MCAOps: Putar haluan?  

Pangdam Jaya: ""Saya tidak pernah mengajak bahwa FPI atau yang lainnya sebagai musuh. Itu tidak ada. Itu saudar…",Fri Nov 27 03:44:02 +0000 2020,1372,192,TRUE,MCAOps,,,,,,
1.33196E+18,"Putar haluan?  

Pangdam Jaya: ""Saya tidak pernah mengajak bahwa FPI atau yang lainnya sebagai musuh. Itu tidak ada. Itu saudara-saudara kita. Jangan ada pihak-pihak membenturkan antara TNI dengan ormas Islam, termasuk FPI.""
https://t.co/jE9ShPtRpY",Thu Nov 26 13:52:45 +0000 2020,1371,192,FALSE,,,,,,,
1.33227E+18,"Dalam pandangan Kiai Miftachul Akhyar di tengah masyarakat yang semakin permisif dan apatis terhadap lingkungan sekarang ini, manfaat
keberadaan FPI sangat jelas dalam memberantas kemungkaran.
https://t.co/uyFjynrgwn",Fri Nov 27 10:15:22 +0000 2020,1101,192,FALSE,,,,,,,
1.3319E+18,"RT @anonlk5: All efforts are made by the Indonesian government's paid buzzer to silence anonymous voices.

https://t.co/dnVDgDmREa

@0x4141…",Thu Nov 26 09:57:16 +0000 2020,447,136,TRUE,anonlk5,,,,,,
1.3315E+18,"DPP FPI mengungkap ternyata antara FPI dan Pangdam ada pertemuan di tanggal 18 November 2020.
Saat itu, kata Awit, FPI diterima dengan baik danbtampak karib. Pertemuan yang dilakukan di kantornya itu tidak membahas soal baliho.
https://t.co/7XTjblo5OH",Wed Nov 25 07:25:49 +0000 2020,694,124,FALSE,,,,,,,
1.33158E+18,"Anak Papua ke Jokowi: """"Sudah terlalu banyak nyawa asli Papua yang hilang secara cuma-cuma. Pembangunan yang bapak buat tidak bisa digantikan dengan nyawa orang asli Papua yang begitu berharga, entah sampai kapan seperti ini bapak Jokowi,"" 
https://t.co/TjCQNhG99b",Wed Nov 25 12:45:04 +0000 2020,834,120,FALSE,,,,,,,
1.33158E+18,"Aksi apel Akbar jaga kesatuan dan persatuan
bangsa ini dihadiri oleh berbagi komunitas dan berbagai ormas umat Islam Banten akan dilaksanakan pada hari ini Rabu (25/11) dengan dijaga ketat oleh Laskar Pembela Islam. 
https://t.co/mdcX03RUE3 https://t.co/xXPO2HuxGf",Wed Nov 25 12:58:07 +0000 2020,768,117,FALSE,,,,,,,
1.33244E+18,"Empat anggota polisi dan satu wartawan
mengalami luka dalam kericuhan saat unjuk rasa menyuarakan aspirasi Papua Merdeka di Kota Sorong. 
https://t.co/JOcYGVRjr3 https://t.co/zGtBrQsXY4",Fri Nov 27 21:50:26 +0000 2020,376,99,FALSE,,,,,,,
1.3323E+18,"Habib Rizieq: "". Jadi kita general check ini mencakup jantung, paru, ginjal, fungsi hati, begitu juga dulu kan Abah ada asam urat, asam lambung, semua bagus,  alhamdulillah wasyukurillah. ""
https://t.co/MvkbsVeMWE https://t.co/D0QczObOVm",Fri Nov 27 12:34:08 +0000 2020,849,91,FALSE,,,,,,,
1.33197E+18,"PA 212: ""Mengkultuskan sampai mendewakan atau mengkultuskan seseorang itu sudah sangat jelas dilarang oleh ajaran kami, ajaran Islam. Sehingga penyambutan Habib Rizieq itu sah-sah saja dilakukan, suatu kewajaran bukan sebagai bentuk mengkultuskan. ""
https://t.co/809TLBoZVs",Thu Nov 26 14:37:38 +0000 2020,423,63,FALSE,,,,,,,
1.33244E+18,RT @BgubauThobyTb2: Bahwa sesungguhnya kemerdekaan itu ialah hak segala bangsa oleh sebab itu maka penjajah di atas tanah Papua harus dihap…,Fri Nov 27 21:53:35 +0000 2020,199,55,TRUE,BgubauThobyTb2,,,,,,
1.33159E+18,"Jawa Tengah kini diklaim menjadi episentrum Covid-19.
Hal ini disebabkan adanya kasus aktif Covid-19 di Jawa Tengah sebanyak 11.109 orang pada Selasa (24/11) lalu. Ganjar Pranowo menyalahkan Satuan Tugas Penanganan Covid-19 Pusat dalam menginput data.
https://t.co/2ZaGarRJLy",Wed Nov 25 13:31:55 +0000 2020,176,55,FALSE,,,,,,,
1.33159E+18,"MUI: ""Opsi dialog dengan tokoh agama, termasuk dengan Habib Rizieq Shihab, sangat dibutuhkan saat ini. Kita bangun suasana yang damai dan bersatu padu di tengah masalah bangsa yang saat ini mengadang. ""
https://t.co/mCcZSiyYce",Wed Nov 25 13:38:30 +0000 2020,359,41,FALSE,,,,,,,
1.33196E+18,"RT @WiroPengamat2: @MCAOps Baliho dicopotin, pakai aja kaos spt ini https://t.co/Idxm8DHCOm",Thu Nov 26 13:48:27 +0000 2020,261,29,TRUE,WiroPengamat2,,,,,,
1.3323E+18,"Baku tembak TNI dengan teroris TPNPB-OPM di Distrik Kenyam, Kabupaten Nduga, Papua. Tiga personel TNI kena tembak dalam peristiwa 30 menit itu.
https://t.co/5qQVMsp7UO",Fri Nov 27 12:13:36 +0000 2020,132,20,FALSE,,,,,,,
1.33196E+18,"Gubernur Anies menerima penghargaan dari Komisi Informasi Pusat Republik Indonesia dalam Anugerah Keterbukaan Informasi Publik tahun 2020. Pemprov DKI yang dia pimpin dianggap mampu memberikan informasi secara terbuka kepada masyarakat.
https://t.co/HUSvrGCx1b",Thu Nov 26 13:46:08 +0000 2020,211,19,FALSE,,,,,,,
1.33226E+18,RT @jpnncom: Miftachul Akhyar: Ahok Ajak Umat Islam Menjadi Sesat https://t.co/lVgAlIWp1j #SidangAhok,Fri Nov 27 09:30:29 +0000 2020,17,13,TRUE,jpnncom,,,,,,
1.33226E+18,RT @okezonenews: KH Miftachul Akhyar: Kewajiban Ulama untuk Meluruskan Pernyataan Sesat Ahok https://t.co/X9TKcX0y31 https://t.co/HfpEmL1rqn,Fri Nov 27 09:30:45 +0000 2020,17,8,TRUE,okezonenews,,,,,,
